,asin,product_title,product_price,currency,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery
0,B0D12T4WZT,USB C Charger for iPhone 14 13 12 11 Charger [MFi Certified] 3Pack 20W USB C Fast Charger Plug Power Adapter with 6FT Type C to Lightning Cable for iPhone 14/13/12/11 Pro/Pro Max/XS Max/XS/XR/X/SE/8,9,USD,5.0,59,1,$9.99,False,False,True,False,4K+ bought in past month,"FREE delivery Tue, Jun 11 on $35 of items shipped by AmazonOr fastest delivery Fri, Jun 7"
1,B0D2X7Y7VF,USB C to Lightning Cable [Apple MFi Certified] iPhone Charger Fast Charging 3 Pack 6FT USB-C Power Delivery Charging Cord Compatible with iPhone 14/13/12/11/XS/XR/X/8/iPad and More,7,USD,4.5,318,1,$7.49,False,False,True,False,4K+ bought in past month,"FREE delivery Tue, Jun 11 on $35 of items shipped by AmazonOr fastest delivery Fri, Jun 7"
2,B0CZPHPJLN,"Beats Solo 4 - Wireless Bluetooth On-Ear Headphones, Apple &amp; Android Compatible, Up to 50 Hours of Battery Life - Slate Blue",149,USD,4.1,92,1,$149.95,False,False,True,False,4K+ bought in past month,"FREE delivery Tue, Jun 11 Or fastest delivery Fri, Jun 7"
3,B0D49CWPH2,"USB C to USB C Cable, (5Pack 6FT), New Nylon USB C Charger Cable 60W(3A) for iPhone 15/15 Pro/15 Plus/15 Pro Max, iPad Mini 6/ Pro 2021, MacBook Pro 2020, Samsung Galaxy S23,Switch",29,USD,4.9,94,1,$29.66,False,False,True,False,10K+ bought in past month,"FREE delivery Tue, Jun 11 on $35 of items shipped by AmazonOr fastest delivery Fri, Jun 7"
4,B0D14HHDGJ,"iPhone 15 Charger 5Pack (6/6/6/6/6 ft) USB C to USB C Cable(60W/3A) USB C Charger Cable Fast Charging for iPhone 15 Pro/Plus/Pro Max,iPad Mini 6/ Pro 2021,MacBook Pro,Samsung Galaxy S23 and More",15,USD,4.8,80,1,$15.99,False,False,True,False,500+ bought in past month,"FREE delivery Tue, Jun 11 on $35 of items shipped by AmazonOr fastest delivery Fri, Jun 7"
5,B0C58MS6HF,"Anker Magnetic Power Bank 10,000mAh, Wireless Portable Charger, 20W Fast Charging Battery Pack with USB-C, Magsafe-Compatible with Magsafe,iPhone 15/15 Plus/15 Pro/15 Pro Max, iPhone 14/13/12 Series",39,USD,4.3,5718,1,$39.99,False,False,True,True,10K+ bought in past month,"FREE delivery Tue, Jun 11 Or fastest delivery Fri, Jun 7 Arrives before Father's Day"
6,B0D2ZWVCS4,5Pack USB C Cable 6FT iPhone 15 14 Cord USB C to USB C Cable (3Pack 60W) ​​​​​​​and USB C to Lightning Cable (2Pack 20W) Fast Charging Power Delivery for iPhone Pad Galaxy and More,8,USD,4.8,38,1,$8.98,False,False,True,False,1K+ bought in past month,"FREE delivery Tue, Jun 11 on $35 of items shipped by AmazonOr fastest delivery Fri, Jun 7"
7,B0D2NL9X6M,iPhone Charger 6 Pack (3/3/6/6/6/10ft) Apple MFi Certified Fast Charge Sync Lightning Cable Compatible with iPhone 14/13/12/11/Pro Max/SE/XR/XS/X/8/7 Plus iPad AirPods,11,USD,4.8,39,1,$11.19,False,False,True,False,2K+ bought in past month,"FREE delivery Tue, Jun 11 on $35 of items shipped by AmazonOr fastest delivery Fri, Jun 7"
8,B0CXSTPWL5,"Small Portable Charger for iPhone,Upgraded 5000mAh PD Fast Charging Power Bank,Mini Battery Pack Backup Charger Compatible with iPhone 14/14 Pro Max/13/13 Pro/12 Pro/11/XS/XR/X/8/7/6 etc-Black",17,USD,4.5,355,1,$17.95,False,False,True,False,1K+ bought in past month,"FREE delivery Tue, Jun 11 on $35 of items shipped by AmazonOr fastest delivery Fri, Jun 7"
9,B09GJZKQ3K,"JBL Flip 6 - Portable Bluetooth Speaker, powerful sound and deep bass, IPX7 waterproof, 12 hours of playtime, JBL PartyBoost for multiple speaker pairing for home, outdoor and travel (Blue)",99,USD,4.7,3410,1,$99.95,False,False,True,False,2K+ bought in past month,"FREE delivery Tue, Jun 11 Or fastest delivery Fri, Jun 7 Arrives before Father's Day"
