,level_0,index,review_title,review_comment,review_star_rating,asin,comments_no_stopwords,neg,neu,pos,compound,sentiment
0,0,0,Charges my bike computer very well.,"This pack of usb-c to usb-c cables is perfectly serviceable.  I have used them to charge my bicycle computer with no problems.  At the price, they work just fine.  My first impression is that the cable is sturdily made, the braided sheathing will likely offer good protection.  They are very flexible and do not seem to hold shape but are quite pliable.  The length is good, but I'm sure anyone reading this knows what length they need.

All in all, the product is as stated, works just fine, and is certainly worth purchasing if you need this length of c-c usb cable.  It never hurts to have a few extra!",5,B0D49CWPH2,"This pack usb-c usb-c cables perfectly serviceable. I used charge bicycle computer problems. At price, work fine. My first impression cable sturdily made, braided sheathing likely offer good protection. They flexible seem hold shape quite pliable. The length good, I'm sure anyone reading knows length need. All all, product stated, works fine, certainly worth purchasing need length c-c usb cable. It never hurts extra!",0.034,0.633,0.333,0.9645,1
1,1,1,"Dependable, high-performance, longevity","The USB C to USB C Cable 5-Pack (6FT) is a reliable and versatile charging solution, especially for my iPhone 15. Each cable is 6 feet long, providing ample reach for various charging scenarios. The cables support 60W (3A) power delivery, ensuring fast and efficient charging. The durable nylon braiding enhances longevity, making these cables resistant to wear and tear. With five cables in the pack, this is an excellent value, offering multiple options for home, office, or travel use. Overall, it's a dependable and cost-effective choice for anyone needing high-performance USB C charging cables.",5,B0D49CWPH2,"The USB C USB C Cable 5-Pack (6FT) reliable versatile charging solution, especially iPhone 15. Each cable 6 feet long, providing ample reach various charging scenarios. The cables support 60W (3A) power delivery, ensuring fast efficient charging. The durable nylon braiding enhances longevity, making cables resistant wear tear. With five cables pack, excellent value, offering multiple options home, office, travel use. Overall, dependable cost-effective choice anyone needing high-performance USB C charging cables.",0.0,0.781,0.219,0.9337,1
2,2,2,Excellent quality!,"I got the cables yesterday and immediately put them to work. So far so good. They seem well built, were a decent price for the pack of them, and fit the opening of my Otterbox case, which is not something every other cable does as easily as these. I'm hoping to get a long life out of these based on how well they appear to be built. Lightening fast charging too!
I usually buy Anker, but they have gotten so expensive over the years, that I thought I'd try these. Very happy that I did! This will be my new go-to brand for charging cables.",5,B0D49CWPH2,"I got cables yesterday immediately put work. So far good. They seem well built, decent price pack them, fit opening Otterbox case, something every cable easily these. I'm hoping get long life based well appear built. Lightening fast charging too! I usually buy Anker, gotten expensive years, I thought I'd try these. Very happy I did! This new go-to brand charging cables.",0.0,0.722,0.278,0.9562,1
3,3,3,CHARGES SO FAST,"So cheap and charges so fast. I got these to charge my laptop, ipad, and my boyfriend’s phone. He always takes my laptop charger so I needed to get extra charging cables and these work like a charm and you get 5! I love how long the cable are too. I put one in my car, his car, two in my room for my ipad and laptop then i have the extra one for work to charge my portable speakers. They’re on sale right now and I really want to get more just because 😅",5,B0D49CWPH2,"So cheap charges fast. I got charge laptop, ipad, boyfriend’s phone. He always takes laptop charger I needed get extra charging cables work like charm get 5! I love long cable too. I put one car, car, two room ipad laptop extra one work charge portable speakers. They’re sale right I really want get 😅",0.041,0.763,0.196,0.8363,1
4,4,4,Great Quality Charging Cables!!,"Extremely pleased with the high quality of these charging cables!  Nice soft braided cable cover and they are well-made, sturdy,  and charge fast!!  Love how these cables come in a pack so I have one for my phone, laptop, work, vehicle, and still have an extra!  Definitely recommend getting these if you need multiple high quality charging cables at an affordable price!!",5,B0D49CWPH2,"Extremely pleased high quality charging cables! Nice soft braided cable cover well-made, sturdy, charge fast!! Love cables come pack I one phone, laptop, work, vehicle, still extra! Definitely recommend getting need multiple high quality charging cables affordable price!!",0.0,0.659,0.341,0.9482,1
5,5,5,Best charger,"First of all, the quality of the cable is really really good and I’m not saying it just for the price, but the cable itself is good quality I would personally pay more for one cable for the price of 5. The cable is also really really long and it charges so fast. I also like the color of it. I now have plenty, one for home, purse, car, work, and my kitchen!",5,B0D49CWPH2,"First all, quality cable really really good I’m saying price, cable good quality I would personally pay one cable price 5. The cable also really really long charges fast. I also like color it. I plenty, one home, purse, car, work, kitchen!",0.085,0.712,0.204,0.7712,1
6,6,6,Great Quality Cable,"This cable is exactly what I was looking for. I can quickly charge all my devices with the high wattage that the cable can handle. Build quality is also nice seems pretty durable and will be able to handle the beating I put my equipment through everyday. I use this to charge my phone , switch, and my power bank.",5,B0D49CWPH2,"This cable exactly I looking for. I quickly charge devices high wattage cable handle. Build quality also nice seems pretty durable able handle beating I put equipment everyday. I use charge phone , switch, power bank.",0.081,0.757,0.162,0.4588,1
7,7,7,Love These Cables,"My family and I travel often and we are always looking for cables to use with various phones, tablets and other gadgets. Purchased this 5 pack and found them to be exactly what we needed at a resonable price. These cables have a high quaility feel, well made, fast charging and fit our devises perfectly! I would purchase again, thanks!",5,B0D49CWPH2,"My family I travel often always looking cables use various phones, tablets gadgets. Purchased 5 pack found exactly needed resonable price. These cables high quaility feel, well made, fast charging fit devises perfectly! I would purchase again, thanks!",0.0,0.716,0.284,0.9059,1
8,8,8,High quality cables,"I've owned a lot of different types of USB cables over the years. These are high quality and sturdy.

I have not had to use them for data, only power, but they do a good job. I’ve smashed a few times in center console and no issues with wires.  The molding of the connectors and the braids tell you that you purchased a quality product.",5,B0D49CWPH2,"I've owned lot different types USB cables years. These high quality sturdy. I use data, power, good job. I’ve smashed times center console issues wires. The molding connectors braids tell purchased quality product.",0.0,0.914,0.086,0.4404,1
9,9,9,Durable Chargers - 5 Pack!!,"Just got the iPhone USB-C to USB-C Cable chargers, and they're awesome! Super durable and just the right length. The 5-pack is a game-changer—now every phone in our house stays charged without any hassle. No more fighting over chargers or dealing with messy cables. Highly recommend these for anyone needing reliable and handy chargers!",5,B0D49CWPH2,"Just got iPhone USB-C USB-C Cable chargers, they're awesome! Super durable right length. The 5-pack game-changer—now every phone house stays charged without hassle. No fighting chargers dealing messy cables. Highly recommend anyone needing reliable handy chargers!",0.088,0.596,0.316,0.9017,1
